6in4 - 24-1
ubox - 2018-12-18-876c7f5b-1
ubus - 2022-02-21-b32a0e17-1
ubusd - 2022-02-21-b32a0e17-1
uci - 2018-08-11-1
uclibcxx - 0.2.5-3
uclient-fetch - 2021-05-14-6a6011df-1
uhttpd - 2019-12-22-5f9ae573-1
uhttpd-mod-ubus - 2019-12-22-5f9ae573-1
unzip - 6.0-6
usb-modeswitch - 2017-12-19-f40f84c2-2
usbmuxd - 1.1.1-4
usbreset - 5
usbutils - 007-10
usign - 2015-07-04-ef641914-1
uuidd - 2.37-2
uuidgen - 2.37-2
vlmcsd - svn1113-3
vsftpd-alt - 3.0.5-1
vti - 1-1
vtiv4 - 1-1
vtiv6 - 1-1
vxlan - 2
wan-discovery - 1.1-1
wget-ssl - 1.21.1-3
wireguard - 1.0.20210606-2
wireguard-tools - 1.0.20210914-2
wireless-regdb - 2020.04.29-2
wireless-tools - 29-5
wsdd2 - 2021-10-22-9831daf2-4
xl2tpd - 1.3.15-2
xray-core - 1.8.11-1
xupnpd - 2018-11-20-1
xz - 5.2.4-1
xz-utils - 5.2.4-1
zerotier - 1.12.2-1
zlib - 1.2.11-1
